City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
1510689,Baykit,RU,61.67,96.37,31.06,92,100,10.11
155584,Lupiro,TZ,-8.3833,36.6667,96.31,20,97,7.23
2167426,Emerald,AU,-23.5333,148.1667,79.99,50,68,6.76
1513491,Yangi Marg`ilon,UZ,40.4272,71.7189,48.92,46,75,4.61
49747,Oddur,SO,4.1213,43.8894,88.88,38,98,11.1
2619624,Hurup,DK,56.7494,8.4195,44.55,3,96,9.35
2035836,Manzhouli,CN,49.6,117.4333,21.27,56,4,6.85
509234,Pitkyaranta,RU,61.5734,31.4792,32.9,55,100,18.1
5117949,Freeport,US,40.6576,-73.5832,46.74,70,1,4.61
1651531,Ambon City,ID,-3.6954,128.1814,84.15,73,13,5.77
2276492,Harper,LR,4.375,-7.7169,82.6,74,62,3.83
5969025,Haines Junction,CA,60.7522,-137.5108,16.02,62,33,2.46
1696188,Palauig,PH,15.435,119.9045,83.91,79,36,4.34
148987,Vikindu,TZ,-7.0067,39.2985,90.93,40,100,11.52
3394023,Natal,BR,-5.795,-35.2094,82.62,78,75,11.5
1799552,Nanzhou,CN,29.3596,112.4024,50.23,47,11,1.83
2156927,Moree,AU,-29.4667,149.85,69.82,60,76,4.61
3470709,Barra do Garças,BR,-15.89,-52.2567,75.2,86,100,1.23
3395981,Maceió,BR,-9.6658,-35.7353,81.84,89,75,6.91
2447513,Arlit,NE,18.7369,7.3853,91.76,9,2,9.8
3386213,Touros,BR,-5.1989,-35.4608,81.5,66,5,12.93
1170295,Mirpur Khas,PK,25.5251,69.0159,95.14,10,1,6.85
4231997,Avera,US,33.194,-82.5271,36.88,56,0,6.26
2090021,Namatanai,PG,-3.6667,152.4333,80.31,75,28,9.01
1529484,Kumul,CN,42.8,93.45,33.15,40,0,2.68
3654541,Macas,EC,-2.3167,-78.1167,63.68,91,69,3.53
4692856,Galveston,US,29.3669,-94.9669,57.65,83,1,3.44
3837213,San Juan,AR,-31.5375,-68.5364,65.32,54,0,3.56
2109528,Buala,SB,-8.145,159.5921,81.45,73,5,7.38
5905393,Bonavista,CA,48.6499,-53.1147,41.0,89,40,12.21
1268484,Kalamb,IN,19.05,73.95,83.46,28,75,9.93
962367,Richards Bay,ZA,-28.783,32.0377,83.05,62,100,2.53
3412093,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,76,40,18.41
1142226,Dawlatabad,AF,36.4141,64.9053,48.38,58,100,6.38
2332515,Lafia,NG,8.4833,8.5167,90.03,52,58,3.58
2244991,Tambacounda,SN,13.7539,-13.7586,89.65,51,0,4.61
5563397,Eureka,US,40.8021,-124.1637,42.44,97,100,5.28
5113760,Corning,US,42.1428,-77.0547,40.03,95,7,2.37
1861280,Itoman,JP,26.1247,127.6694,69.82,88,75,27.63
2425791,Kibala,TD,9.1104,18.3463,91.35,52,0,9.22
2422924,Boké,GN,10.9409,-14.2967,85.05,70,30,2.98
3728097,Les Cayes,HT,18.2,-73.75,74.95,80,54,4.16
5039978,Oakdale,US,44.963,-92.9649,44.55,94,1,9.22
6355222,Yulara,AU,-25.2406,130.9889,75.04,69,65,5.75
1259552,Pīpri,IN,19.8,75.5333,83.77,23,75,10.45
6050066,La Ronge,CA,55.1001,-105.2842,28.65,86,1,4.61
2123836,Lazarev,RU,52.225,141.5131,28.17,52,89,7.72
568587,Chernyanka,RU,50.9409,37.8069,49.51,69,99,15.41
2155562,Nelson Bay,AU,-32.7167,152.15,64.31,95,39,9.33
1337605,Mahibadhoo,MV,3.7833,72.9667,82.85,71,99,16.49
3984997,San Quintín,MX,30.4833,-115.95,59.32,90,46,4.59
3021410,Arrondissement de Dieppe,FR,49.75,1.1667,47.48,76,75,4.12
4513583,Hamilton,US,39.1834,-84.5333,41.22,82,1,4.61
2145554,Ulladulla,AU,-35.35,150.4667,63.46,92,100,10.42
2176639,Batemans Bay,AU,-35.7167,150.1833,61.83,90,100,8.14
2322911,Sokoto,NG,13.0609,5.239,94.37,10,55,7.25
1638775,Payo,ID,-3.7508,103.6372,82.24,78,97,0.83
2020871,Lebedinyy,RU,58.5167,125.5167,11.14,88,100,14.58
244878,Biltine,TD,14.5333,20.9167,93.29,11,4,2.44
2037078,Hailar,CN,49.2,119.7,20.88,48,0,8.1
607610,Zhangaözen,KZ,43.3,52.8,51.26,42,96,9.06
706580,Kazanka,UA,47.8462,32.8218,53.91,76,99,10.98
1526038,Atbasar,KZ,51.8,68.3333,39.18,35,100,13.35
3372760,Praia da Vitória,PT,38.7333,-27.0667,70.05,94,40,16.17
1737185,Kapit,MY,2.0167,112.9333,78.04,94,93,1.03
5504003,Fernley,US,39.608,-119.2518,37.26,52,81,1.45
1624041,Ternate,ID,0.8,127.4,83.48,74,97,2.3
1267360,Kayamkulam,IN,9.1833,76.5,78.84,79,100,3.04
3131824,Vigrestad,NO,58.5667,5.7,43.86,84,99,15.39
3421982,Maniitsoq,GL,65.4167,-52.9,19.15,65,17,6.85
415189,Aden,YE,12.7794,45.0367,83.73,60,30,17.38
